block,RT,image,position,response,order,environment,condition,location,binary,label
95,552,axe01,25,-1,3,axe,a,outdoor,0,axe
96,565,package02,24,-1,3,package,a,outdoor,0,package
97,1407,package25,1,1,3,package,a,outdoor,1,package
98,631,package13,13,1,3,package,a,outdoor,1,package
99,483,package08,18,1,3,package,a,outdoor,1,package
100,538,package07,19,-1,3,package,a,outdoor,0,package
1,334,soap16,10,-1,3,soap,a,indoor,0,soap
2,66,soap19,7,1,3,soap,a,indoor,1,soap
3,284,soap11,15,-1,3,soap,a,indoor,0,soap
4,297,soap25,1,1,3,soap,a,indoor,1,soap
5,739,soap17,9,-1,3,soap,a,indoor,0,soap
6,165,microwave24,2,-1,3,microwave,a,indoor,0,microwave
7,860,microwave13,13,-1,3,microwave,a,indoor,0,microwave
8,243,microwave18,8,-1,3,microwave,a,indoor,0,microwave
10,62,microwave06,20,-1,3,microwave,a,indoor,0,microwave
